title,location,price,bedrooms
,Karen Hardy,"KSh 68,000,000",4
,Kiambu Road,"KSh 45,000,000",3
,Karen,"KSh 63,000,000",4
,"Kangundo road, Joska, Kamulu Joska Malaa","KSh 8,750,000",3
,"Garden estate, Garden Estate, Roysambu","KSh 48,000,000",4
,"Kiambu Road Runda Paridise lost Kiambu, Runda, Westlands","KSh 66,000,000",4
,"Kitisuru, Westlands","KSh 110,000,000",5
,Karen,"KSh 97,000,000",5
,"Academy road, Karen","KSh 115,000,000",6
,"Brookside drive., Brookside, Westlands","KSh 75,000,000",4
,South C,"KSh 55,000,000",2
,Kiambu Road,"KSh 21,817,000",3
,"Ngumo, Ngumo Estate","KSh 21,000,000",3
,"Road C, Mombasa Road","KSh 28,000,000",4
,Lavington,"KSh 55,000,000",5
,"Gigiri, Westlands","KSh 230,000,000",5
,"Kitisuru, Westlands","KSh 130,000,000",5
,Upper Hill,"KSh 70,000,000",3
,"lavington, Lavington","KSh 65,000,000",4
,"01, riverside, Nairobi, Riverside, Westlands","KSh 47,000,000",4
,"01, kitisuru, Kitisuru, Westlands","KSh 87,000,000",5
,"Runda, Westlands","KSh 100,000,000",4
,"Runda, Westlands","KSh 90,000,000",5
,"O, Old kitisuru, Kitisuru, Westlands","KSh 250,000,000",4
,"Runda, Westlands","KSh 95,000,000",4
,Kiambu Road,Price not communicated,7
,"65, Lower kabete, Lower Kabete, Westlands","KSh 250,000,000",6
,Kiambu Road,"KSh 35,000,000",4
,"Runda, Westlands","KSh 125,000,000",6
,"Lavington Green, Lavington","KSh 58,000,000",5
,"Runda, Westlands","KSh 85,000,000",4
,"Loresho, Westlands","KSh 45,000,000",4
,"01, Lower Kabete, Westlands","KSh 90,000,000",5
,"Kitisuru, Westlands","KSh 65,000,000",4
,Kiambu Road,"KSh 59,000,000",4
,Kasarani,"KSh 21,000,000",5
,Karen,"KSh 90,000,000",4
,"Kibera Station road, Jamhuri","KSh 20,000,000",6
,"Off Langata Road, Karen","KSh 190,000,000",7
,"Westlands Area, Westlands","KSh 39,000,000",4
,"Ngong, Ngong Road","KSh 9,600,000",3
,"Loresho, Westlands","KSh 59,500,000",5
,"187, Spur Mall, Thika Road","KSh 16,000,000",4
